fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,direction,landcover,location,state,state_short,pop_density,sentiment,overall_sentiment,overall_positive_sentiment,overall_negative_sentiment,magnitude,overall_magnitude,num_tweets,total_tweets,avg_sentiment,unique_days,s_duration
2,20.8396,-156.418,1.5,6.48,2016-10-28,2016-11-02,6.0,0.57,0.25,southeast,Croplands,"Maui County, HI, USA",Hawaii,HI,46.23665,"[-0.7000000700354576, -0.30000000447034836, -0.09999998658895493, -0.999999962747097, -0.6000000014901161]",-2.700000025331974,"[1.9999999850988388, 0.0, 0.5000000149011612, 1.3000000268220901, 1.4000000208616257]","[-2.7000000551342964, -0.30000000447034836, -0.6000000014901161, -2.299999989569187, -2.000000022351742]","[4.700000040233135, 0.30000000447034836, 1.1000000163912773, 3.6000000163912773, 3.4000000432133675]",13.100000120699406,"[16.0, 3.0, 4.0, 11.0, 11.0]",45,"[-0.14893618383899745, -1.0, -0.09090907736258093, -0.27777776616499017, -0.17647058643065525]","['2016-10-27', '2016-10-28', '2016-10-29', '2016-10-31', '2016-11-01']",5
4,20.6271,-156.247,18.65,30.56,2016-02-16,2016-02-20,5.0,2.68,3.73,northwest,Open shrublands,"Maui County, HI, USA",Hawaii,HI,1.529903,"[-0.4000000059604645, 0.0, 0.40000002086162567, -2.799999974668026, 7.099999830126762, 0.19999998807907104]",4.499999858438969,"[0.0, 0.0, 0.8000000268220901, 2.400000035762787, 12.80000001937151, 1.1000000163912773]","[-0.4000000059604645, 0.0, -0.4000000059604645, -5.200000010430813, -5.700000189244747, -0.9000000283122063]","[0.4000000059604645, 0.0, 1.2000000327825546, 7.6000000461936, 18.500000208616257, 2.0000000447034836]",29.70000033825636,"[3.0, 9.0, 8.0, 37.0, 39.0, 6.0]",102,"[-1.0, 0.0, 0.333333341611756, -0.3684210470591226, 0.38378377027368804, 0.09999999180436153]","['2016-02-15', '2016-02-16', '2016-02-17', '2016-02-18', '2016-02-19', '2016-02-20']",6
6,42.2438,-121.875,0.86,5.56,2016-08-09,2016-08-09,1.0,0.79,0.86,none,Croplands,"Klamath County, OR, USA",Oregon,OR,44.0032,"[0.700000025331974, 2.1000000685453415, -2.2000001594424248]",0.5999999344348907,"[0.700000025331974, 5.700000137090683, 28.200000166893005]","[0.0, -3.6000000685453415, -30.40000032633543]","[0.700000025331974, 9.300000205636024, 58.600000493228436]",68.60000072419643,"[3.0, 56.0, 141.0]",200,"[1.0, 0.2258064539904731, -0.03754266452090981]","['2016-08-07', '2016-08-08', '2016-08-09']",3
8,41.8938,-122.979,20.37,40.74,2016-08-28,2016-09-12,16.0,1.49,1.27,northwest,Evergreen Needleleaf forest,"Siskiyou County, CA, USA",California,CA,0.5241377,"[-3.2000000402331352, -42.400000154972076, -14.400000229477882, -132.89999809116125, -45.70000057667494, -17.000000350177288, 0.09999992698431015, -12.800000175833702, -7.500000067055225, -23.500000081956387, -25.70000022649765, -19.80000053346157, -28.10000080615282, -8.70000009983778, -18.0000002682209, -6.3000000193715096, -5.400000095367432, -14.700000368058681]",-426.0000022575259,"[0.6000000089406967, 20.400000371038914, 24.400000400841236, 67.80000188946724, 26.200000427663326, 51.20000071078539, 21.900000244379044, 15.200000204145908, 5.900000125169754, 7.500000052154064, 6.600000165402889, 6.80000015348196, 8.200000070035458, 7.80000015348196, 10.800000168383121, 4.700000084936619, 3.5000000670552254, 8.400000140070915]","[-3.800000049173832, -62.80000052601099, -38.80000063031912, -200.6999999806285, -71.90000100433826, -68.20000106096268, -21.800000317394733, -28.00000037997961, -13.40000019222498, -31.00000013411045, -32.30000039190054, -26.60000068694353, -36.30000087618828, -16.50000025331974, -28.800000436604023, -11.000000104308128, -8.900000162422657, -23.100000508129597]","[4.400000058114529, 83.2000008970499, 63.200001031160355, 268.50000187009573, 98.10000143200159, 119.40000177174807, 43.70000056177378, 43.20000058412552, 19.300000317394733, 38.500000186264515, 38.90000055730343, 33.40000084042549, 44.500000946223736, 24.3000004068017, 39.600000604987144, 15.700000189244747, 12.400000229477882, 31.500000648200512]",1021.8000131323934,"[11.0, 244.0, 347.0, 645.0, 415.0, 576.0, 199.0, 128.0, 85.0, 106.0, 102.0, 98.0, 120.0, 96.0, 102.0, 41.0, 36.0, 92.0]",3443,"[-0.7272727268109145, -0.5096153809834333, -0.22784810117927143, -0.4949720564823692, -0.4658511713514304, -0.14237856028407328, 0.002288327819194224, -0.296296296360173, -0.38860103335312457, -0.6103896095652588, -0.6606683768201773, -0.5928143723127324, -0.6314606788460615, -0.35802468947295174, -0.45454545437441274, -0.4012738817472952, -0.435483870599477, -0.46666666874809865]","['2016-08-26', '2016-08-27', '2016-08-28', '2016-08-29', '2016-08-30', '2016-08-31', '2016-09-01', '2016-09-02', '2016-09-03', '2016-09-04', '2016-09-05', '2016-09-06', '2016-09-07', '2016-09-08', '2016-09-09', '2016-09-10', '2016-09-11', '2016-09-12']",18
10,41.8688,-123.031,6.65,17.59,2016-08-28,2016-09-06,10.0,1.46,0.66,west,Evergreen Needleleaf forest,"Siskiyou County, CA, USA",California,CA,5.892128,"[-3.2000000402331352, -42.400000154972076, -14.400000229477882, -132.89999809116125, -45.70000057667494, -17.000000350177288, 0.09999992698431015, -12.800000175833702, -7.500000067055225, -23.500000081956387, -25.70000022649765, -15.800000414252281]",-340.8000004813075,"[0.6000000089406967, 20.400000371038914, 24.400000400841236, 67.80000188946724, 26.200000427663326, 51.20000071078539, 21.900000244379044, 15.200000204145908, 5.900000125169754, 7.500000052154064, 6.600000165402889, 6.600000150501728]","[-3.800000049173832, -62.80000052601099, -38.80000063031912, -200.6999999806285, -71.90000100433826, -68.20000106096268, -21.800000317394733, -28.00000037997961, -13.40000019222498, -31.00000013411045, -32.30000039190054, -22.40000056475401]","[4.400000058114529, 83.2000008970499, 63.200001031160355, 268.50000187009573, 98.10000143200159, 119.40000177174807, 43.70000056177378, 43.20000058412552, 19.300000317394733, 38.500000186264515, 38.90000055730343, 29.000000715255737]",849.4000099822879,"[11.0, 244.0, 347.0, 645.0, 415.0, 576.0, 199.0, 128.0, 85.0, 106.0, 102.0, 88.0]",2946,"[-0.7272727268109145, -0.5096153809834333, -0.22784810117927143, -0.4949720564823692, -0.4658511713514304, -0.14237856028407328, 0.002288327819194224, -0.296296296360173, -0.38860103335312457, -0.6103896095652588, -0.6606683768201773, -0.5448275870538353]","['2016-08-26', '2016-08-27', '2016-08-28', '2016-08-29', '2016-08-30', '2016-08-31', '2016-09-01', '2016-09-02', '2016-09-03', '2016-09-04', '2016-09-05', '2016-09-06']",12
12,41.9063,-122.964,7.72,17.59,2016-08-31,2016-09-12,13.0,1.37,0.59,east,Evergreen Needleleaf forest,"Siskiyou County, CA, USA",California,CA,0.5241377,"[-2.499999985098839, -45.70000057667494, -17.000000350177288, 0.09999992698431015, -12.800000175833702, -7.500000067055225, -23.500000081956387, -25.70000022649765, -19.80000053346157, -28.10000080615282, -8.70000009983778, -18.0000002682209, -6.3000000193715096, -5.400000095367432, -14.700000368058681]",-235.60000372678041,"[1.3000000268220901, 26.200000427663326, 51.20000071078539, 21.900000244379044, 15.200000204145908, 5.900000125169754, 7.500000052154064, 6.600000165402889, 6.80000015348196, 8.200000070035458, 7.80000015348196, 10.800000168383121, 4.700000084936619, 3.5000000670552254, 8.400000140070915]","[-3.800000011920929, -71.90000100433826, -68.20000106096268, -21.800000317394733, -28.00000037997961, -13.40000019222498, -31.00000013411045, -32.30000039190054, -26.60000068694353, -36.30000087618828, -16.50000025331974, -28.800000436604023, -11.000000104308128, -8.900000162422657, -23.100000508129597]","[5.100000038743019, 98.10000143200159, 119.40000177174807, 43.70000056177378, 43.20000058412552, 19.300000317394733, 38.500000186264515, 38.90000055730343, 33.40000084042549, 44.500000946223736, 24.3000004068017, 39.600000604987144, 15.700000189244747, 12.400000229477882, 31.500000648200512]",607.6000093147159,"[22.0, 415.0, 576.0, 199.0, 128.0, 85.0, 106.0, 102.0, 98.0, 120.0, 96.0, 102.0, 41.0, 36.0, 92.0]",2218,"[-0.4901960717857182, -0.4658511713514304, -0.14237856028407328, 0.002288327819194224, -0.296296296360173, -0.38860103335312457, -0.6103896095652588, -0.6606683768201773, -0.5928143723127324, -0.6314606788460615, -0.35802468947295174, -0.45454545437441274, -0.4012738817472952, -0.435483870599477, -0.46666666874809865]","['2016-08-29', '2016-08-30', '2016-08-31', '2016-09-01', '2016-09-02', '2016-09-03', '2016-09-04', '2016-09-05', '2016-09-06', '2016-09-07', '2016-09-08', '2016-09-09', '2016-09-10', '2016-09-11', '2016-09-12']",15
14,41.6771,-121.822,0.21,1.85,2016-06-21,2016-06-21,1.0,0.46,0.21,none,Grasslands,"Siskiyou County, CA, USA",California,CA,0.0170772,"[-4.500000059604645, -161.50000178068876, -518.2000063434243]",-684.2000081837177,"[4.600000128149986, 108.30000155419111, 101.20000176131725]","[-9.100000187754631, -269.8000033348799, -619.4000081047416]","[13.700000315904617, 378.100004889071, 720.6000098660588]",1112.4000150710344,"[90.0, 1653.0, 4421.0]",6164,"[-0.3284671500613398, -0.42713567757839754, -0.7191229520517832]","['2016-06-19', '2016-06-20', '2016-06-21']",3
16,41.4188,-122.136,0.21,1.85,2016-06-29,2016-06-29,1.0,0.46,0.21,none,Evergreen Needleleaf forest,"Siskiyou County, CA, USA",California,CA,1.977359,"[-8.50000025331974, -85.30000325292349, -66.00000174343586]",-159.8000052496791,"[9.300000123679638, 204.70000137388706, 100.10000155866146]","[-17.800000376999378, -290.00000462681055, -166.10000330209732]","[27.100000500679016, 494.7000060006976, 266.2000048607588]",788.0000113621354,"[86.0, 1950.0, 1708.0]",3744,"[-0.31365314008414, -0.17242773846419399, -0.2479338863196433]","['2016-06-27', '2016-06-28', '2016-06-29']",3
18,41.4021,-120.261,0.21,1.85,2016-05-05,2016-05-05,1.0,0.46,0.21,none,Grasslands,"Modoc County, CA, USA",California,CA,0.462978,"[0.0, -3.7000000327825546, -12.899999976158142]",-16.600000008940697,"[0.30000000447034836, 20.2000003606081, 18.800000220537186]","[-0.30000000447034836, -23.900000393390656, -31.700000196695328]","[0.6000000089406967, 44.100000753998756, 50.50000041723251]",95.20000118017197,"[7.0, 172.0, 186.0]",365,"[0.0, -0.08390022606625598, -0.2554455419718407]","['2016-05-03', '2016-05-04', '2016-05-05']",3
20,41.3604,-122.182,0.21,1.85,2016-06-25,2016-06-25,1.0,0.46,0.21,none,Evergreen Needleleaf forest,"Siskiyou County, CA, USA",California,CA,0.4106688,"[-7.800000108778477, -702.1000111103058, -780.6000109314919]",-1490.5000221505761,"[5.800000138580799, 210.80000326782465, 172.8000030592084]","[-13.600000247359276, -912.9000143781304, -953.4000139907002]","[19.400000385940075, 1123.700017645955, 1126.2000170499086]",2269.300035081804,"[76.0, 5436.0, 6810.0]",12322,"[-0.4020618532786956, -0.624810892662562, -0.693127330060144]","['2016-06-23', '2016-06-24', '2016-06-25']",3
